,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
10,Faceoff Win,Puck Recovery,Shot,Puck Recovery,Dump In/Out,Puck Recovery,Zone Entry,Shot,Puck Recovery,Puck Recovery,Play,Play,Dump In/Out,Puck Recovery,Zone Entry,Play,Play,Play,Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Faceoff Win,Puck Recovery,Play,Play,Play,Play,Zone Entry,Play,Play,Shot,Puck Recovery,Play,Shot,Puck Recovery,Play,Play,Play,Shot,Puck Recovery,Play,Play,Incomplete Play,Puck Recovery,Dump In/Out,Puck Recovery,Play,Puck Recovery,Shot,Puck Recovery,Incomplete Play,Puck Recovery,Play,Play,Play,Play,Incomplete Play,Puck Recovery,Incomplete Play,Takeaway,Play,Incomplete Play,Zone Entry,Puck Recovery,Dump In/Out,Zone Entry,Puck Recovery,Play,Incomplete Play,Takeaway,Play,Play,Zone Entry,Incomplete Play,Puck Recovery,Play,Incomplete Play,Puck Recovery,Incomplete Play,Puck Recovery,Takeaway,Play,Dump In/Out,Zone Entry,Puck Recovery,Incomplete Play,Puck Recovery,Play,Incomplete Play,Takeaway,Play,Zone Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Faceoff Win,Puck Recovery,Play,Play,Dump In/Out,Zone Entry,Puck Recovery,Play,Dump In/Out,Puck Recovery,Incomplete Play,Puck Recovery,Play,Play,Zone Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Faceoff Win,Puck Recovery,Play,Play,Incomplete Play,Puck Recovery,Dump In/Out,Puck Recovery,Play,Play,Play,Zone Entry,Play,Puck Recovery,Play,Shot,Puck Recovery,Dump In/Out,Puck Recovery,Incomplete Play,Puck Recovery,Incomplete Play,Puck Recovery,Takeaway,Puck Recovery,Play,Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Faceoff Win,Puck Recovery,Dump In/Out,Zone Entry,Puck Recovery,Incomplete Play,Puck Recovery,Play,Shot,Puck Recovery,Play,Play,Shot,Puck Recovery,Puck Recovery,Play,Dump In/Out,Puck Recovery,Play,Dump In/Out,Zone Entry,Puck Recovery,Puck Recovery,Play,Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Faceoff Win,Puck Recovery,Play,Play,Play,Dump In/Out,Zone Entry,Puck Recovery,Puck Recovery,Play,Play,Shot,Puck Recovery,Incomplete Play,Puck Recovery,Play,Dump In/Out,Puck Recovery,Incomplete Play,Puck Recovery,Play,Puck Recovery,Incomplete Play,Puck Recovery,Play,Shot,Puck Recovery,Play,Play,Shot,Puck Recovery,Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Faceoff Win,Puck Recovery,Play,Zone Entry,Shot,Puck Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Faceoff Win,Puck Recovery,Play,Play,Incomplete Play,Puck Recovery,Play,Play,Shot,Puck Recovery,Shot,Puck Recovery,Play,Takeaway,Play,Shot,Puck Recovery,Shot,Puck Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Faceoff Win,Puck Recovery,Play,Play,Play,Play,Zone Entry,Play,Play,Shot,Puck Recovery,Play,Play,Play,Play,Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Faceoff Win,Puck Recovery,Play,Play,Shot,Puck Recovery,Puck Recovery,Incomplete Play,Puck Recovery,Play,Play,Play,Dump In/Out,Puck Recovery,Play,Zone Entry,Shot,Puck Recovery,Incomplete Play,Puck Recovery,Play,Play,Play,Play,Shot,Puck Recovery,Incomplete Play,Puck Recovery,Play,Play,Zone Entry,Puck Recovery,Incomplete Play,Puck Recovery,Dump In/Out,Zone Entry,Puck Recovery,Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Faceoff Win,Puck Recovery,Takeaway,Incomplete Play,Takeaway,Play,Play,Incomplete Play,Puck Recovery,Dump In/Out,Zone Entry,Puck Recovery,Play,Dump In/Out,Puck Recovery,Play,Play,Play,Zone Entry,Shot,Puck Recovery,Puck Recovery,Play,Play,Shot,Puck Recovery,Play,Dump In/Out,Puck Recovery,Play,Play,Zone Entry,Puck Recovery,Play,Zone Entry,Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Faceoff Win,Puck Recovery,Puck Recovery,Puck Recovery,Incomplete Play,Puck Recovery,Incomplete Play,Takeaway,Puck Recovery,Incomplete Play,Puck Recovery,Play,Zone Entry,Shot,Puck Recovery,Dump In/Out,Puck Recovery,Play,Zone Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Faceoff Win,Puck Recovery,Play,Play,Play,Play,Zone Entry,Incomplete Play,Puck Recovery,Incomplete Play,Puck Recovery,Dump In/Out,Puck Recovery,Puck Recovery,Incomplete Play,Puck Recovery,Play,Zone Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Faceoff Win,Puck Recovery,Play,Play,Play,Play,Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Faceoff Win,Puck Recovery,Puck Recovery,Dump In/Out,Puck Recovery,Shot,Puck Recovery,Puck Recovery,Dump In/Out,Puck Recovery,Shot,Puck Recovery,Incomplete Play,Puck Recovery,Dump In/Out,Puck Recovery,Zone Entry,Puck Recovery,Play,Play,Play,Zone Entry,Incomplete Play,Takeaway,Incomplete Play,Puck Recovery,Play,Play,Play,Shot,Puck Recovery,Incomplete Play,Puck Recovery,Incomplete Play,Puck Recovery,Play,Zone Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Faceoff Win,Puck Recovery,Play,Zone Entry,Incomplete Play,Puck Recovery,Incomplete Play,Takeaway,Play,Play,Play,Dump In/Out,Zone Entry,Puck Recovery,Play,Dump In/Out,Zone Entry,Puck Recovery,Incomplete Play,Puck Recovery,Play,Takeaway,Incomplete Play,Puck Recovery,Takeaway,Dump In/Out,Zone Entry,Puck Recovery,Play,Shot,Puck Recovery,Play,Puck Recovery,Dump In/Out,Puck Recovery,Play,Dump In/Out,Zone Entry,Puck Recovery,Play,Play,Play,Incomplete Play,Puck Recovery,Puck Recovery,Takeaway,Incomplete Play,Puck Recovery,Puck Recovery,Play,Play,Zone Entry,Puck Recovery,Play,Play,Play,Dump In/Out,Zone Entry,Puck Recovery,Play,Dump In/Out,Puck Recovery,Dump In/Out,Zone Entry,Puck Recovery,Dump In/Out,Puck Recovery,Dump In/Out,Puck Recovery,Play,Incomplete Play,Puck Recovery,Dump In/Out,Puck Recovery,Play,Takeaway,Play,Incomplete Play,Puck Recovery,Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Faceoff Win,Puck Recovery,Zone Entry,Play,Play,Play,Puck Recovery,Zone Entry,Play,Shot,Puck Recovery,Play,Shot,Puck Recovery,Puck Recovery,Dump In/Out,Puck Recovery,Play,Play,Play,Incomplete Play,Takeaway,Zone Entry,Play,Shot,Puck Recovery,Zone Entry,Shot,Puck Recovery,Incomplete Play,Puck Recovery,Play,Play,Zone Entry,Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Faceoff Win,Puck Recovery,Takeaway,Play,Play,Play,Shot,Shot,Puck Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Faceoff Win,Puck Recovery,Incomplete Play,Puck Recovery,Puck Recovery,Play,Puck Recovery,Incomplete Play,Puck Recovery,Takeaway,Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Faceoff Win,Puck Recovery,Incomplete Play,Puck Recovery,Dump In/Out,Puck Recovery,Takeaway,Dump In/Out,Puck Recovery,Zone Entry,Play,Play,Play,Incomplete Play,Puck Recovery,Play,Play,Play,Dump In/Out,Puck Recovery,Dump In/Out,Puck Recovery,Play,Play,Incomplete Play,Puck Recovery,Dump In/Out,Puck Recovery,Play,Play,Play,Play,Play,Shot,Puck Recovery,Dump In/Out,Puck Recovery,Play,Puck Recovery,Play,Zone Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Faceoff Win,Puck Recovery,Incomplete Play,Puck Recovery,Puck Recovery,Play,Play,Shot,Puck Recovery,Shot,Puck Recovery,Play,Incomplete Play,Puck Recovery,Zone Entry,Incomplete Play,Puck Recovery,Incomplete Play,Takeaway,Play,Puck Recovery,Incomplete Play,Takeaway,Play,Play,Play,Zone Entry,Shot,Puck Recovery,Play,Play,Play,Shot,Puck Recovery,Play,Dump In/Out,Zone Entry,Puck Recovery,Dump In/Out,Puck Recovery,Dump In/Out,Puck Recovery,Dump In/Out,Puck Recovery,Incomplete Play,Takeaway,Incomplete Play,Takeaway,Dump In/Out,Puck Recovery,Shot,Puck Recovery,Play,Puck Recovery,Play,Play,Play,Play,Shot,Puck Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Faceoff Win,Puck Recovery,Play,Play,Play,Zone Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Faceoff Win,Puck Recovery,Play,Play,Dump In/Out,Zone Entry,Puck Recovery,Play,Play,Incomplete Play,Takeaway,Play,Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Faceoff Win,Puck Recovery,Play,Play,Play,Puck Recovery,Incomplete Play,Takeaway,Play,Play,Play,Shot,Puck Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Faceoff Win,Puck Recovery,Incomplete Play,Puck Recovery,Play,Play,Play,Play,Play,Shot,Puck Recovery,Play,Zone Entry,Play,Play,Play,Play,Play,Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Faceoff Win,Puck Recovery,Play,Play,Play,Incomplete Play,Zone Entry,Puck Recovery,Puck Recovery,Incomplete Play,Puck Recovery,Incomplete Play,Takeaway,Play,Play,Play,Play,Zone Entry,Shot,Puck Recovery,Incomplete Play,Puck Recovery,Play,Incomplete Play,Puck Recovery,Play,Dump In/Out,Puck Recovery,Play,Play,Zone Entry,Play,Play,Play,Play,Shot,Puck Recovery,Puck Recovery,Incomplete Play,Takeaway,Shot,Puck Recovery,Incomplete Play,Puck Recovery,Puck Recovery,Takeaway,Shot,Puck Recovery,Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Faceoff Win,Puck Recovery,Dump In/Out,Zone Entry,Puck Recovery,Puck Recovery,Play,Incomplete Play,Puck Recovery,Incomplete Play,Puck Recovery,Play,Play,Play,Puck Recovery,Incomplete Play,Puck Recovery,Play,Incomplete Play,Puck Recovery,Play,Puck Recovery,Incomplete Play,Puck Recovery,Play,Shot,Puck Recovery,Incomplete Play,Takeaway,Play,Play,Incomplete Play,Puck Recovery,Takeaway,Puck Recovery,Play,Play,Play,Play,Dump In/Out,Puck Recovery,Play,Play,Play,Puck Recovery,Takeaway,Incomplete Play,Puck Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Faceoff Win,Puck Recovery,Play,Play,Play,Play,Play,Shot,Puck Recovery,Incomplete Play,Takeaway,Incomplete Play,Puck Recovery,Play,Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Faceoff Win,Puck Recovery,Dump In/Out,Puck Recovery,Play,Zone Entry,Incomplete Play,Puck Recovery,Shot,Puck Recovery,Play,Play,Play,Shot,Shot,Puck Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Faceoff Win,Puck Recovery,Play,Play,Shot,Puck Recovery,Play,Zone Entry,Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Faceoff Win,Puck Recovery,Play,Play,Shot,Puck Recovery,Incomplete Play,Puck Recovery,Play,Play,Play,Play,Zone Entry,Shot,Puck Recovery,Puck Recovery,Play,Incomplete Play,Puck Recovery,Play,Play,Zone Entry,Shot,Puck Recovery,Play,Zone Entry,Incomplete Play,Puck Recovery,Dump In/Out,Puck Recovery,Incomplete Play,Puck Recovery,Incomplete Play,Puck Recovery,Puck Recovery,Play,Zone Entry,Shot,Puck Recovery,Incomplete Play,Puck Recovery,Incomplete Play,Puck Recovery,Incomplete Play,Puck Recovery,Incomplete Play,Puck Recovery,Dump In/Out,Zone Entry,Puck Recovery,Play,Play,Play,Zone Entry,Incomplete Play,Puck Recovery,Play,Play,Play,Zone Entry,Play,Shot,Puck Recovery,Incomplete Play,Puck Recovery,Play,Incomplete Play,Puck Recovery,Incomplete Play,Puck Recovery,Dump In/Out,Zone Entry,Puck Recovery,Play,Play,Dump In/Out,Puck Recovery,Dump In/Out,Zone Entry,Puck Recovery,Play,Dump In/Out,Puck Recovery,Play,Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Faceoff Win,Puck Recovery,Play,Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Faceoff Win,Puck Recovery,Play,Play,Play,Play,Play,Play,Zone Entry,Dump In/Out,Puck Recovery,Play,Puck Recovery,Incomplete Play,Puck Recovery,Incomplete Play,Puck Recovery,Dump In/Out,Puck Recovery,Incomplete Play,Puck Recovery,Dump In/Out,Puck Recovery,Play,Play,Dump In/Out,Zone Entry,Puck Recovery,Incomplete Play,Takeaway,Dump In/Out,Puck Recovery,Play,Play,Zone Entry,Play,Incomplete Play,Puck Recovery,Incomplete Play,Puck Recovery,Dump In/Out,Zone Entry,Puck Recovery,Incomplete Play,Takeaway,Play,Play,Play,Shot,Puck Recovery,Shot,Puck Recovery,Shot,Puck Recovery,Play,Play,Play,Play,Shot,Puck Recovery,Shot,Puck Recovery,Play,Play,Incomplete Play,Puck Recovery,Incomplete Play,Puck Recovery,Play,Incomplete Play,Puck Recovery,Dump In/Out,Puck Recovery,Dump In/Out,Puck Recovery,Play,Incomplete Play,Puck Recovery,Play,Play,Play,Shot,Puck Recovery,Incomplete Play,Puck Recovery,Zone Entry,Puck Recovery,Play,Incomplete Play,Puck Recovery,Play,Play,Play,Play,Dump In/Out,Zone Entry,Puck Recovery,Incomplete Play,Puck Recovery,Dump In/Out,Zone Entry,Puck Recovery,Play,Play,Incomplete Play,Puck Recovery,Play,Play,Play,Zone Entry,Puck Recovery,Play,Zone Entry,Puck Recovery,Play,Play,Play,Zone Entry,Play
43,Faceoff Win,Puck Recovery,Incomplete Play,Puck Recovery,Play,Incomplete Play,Takeaway,Incomplete Play,Puck Recovery,Play,Play,Zone Entry,Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Faceoff Win,Puck Recovery,Play,Zone Entry,Shot,Puck Recovery,Play,Play,Play,Play,Shot,Puck Recovery,Play,Play,Shot,Puck Recovery,Play,Play,Shot,Puck Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Faceoff Win,Puck Recovery,Play,Play,Play,Play,Play,Shot,Puck Recovery,Incomplete Play,Puck Recovery,Shot,Puck Recovery,Shot,Puck Recovery,Shot,Puck Recovery,Puck Recovery,Play,Dump In/Out,Puck Recovery,Play,Incomplete Play,Puck Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Faceoff Win,Puck Recovery,Play,Play,Incomplete Play,Puck Recovery,Play,Play,Play,Play,Shot,Puck Recovery,Play,Shot,Puck Recovery,Play,Play,Zone Entry,Play,Play,Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Faceoff Win,Puck Recovery,Dump In/Out,Puck Recovery,Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Faceoff Win,Puck Recovery,Play,Play,Shot,Puck Recovery,Play,Play,Play,Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Faceoff Win,Puck Recovery,Play,Play,Play,Play,Play,Play,Play,Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Faceoff Win,Puck Recovery,Play,Play,Play,Play,Play,Play,Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Faceoff Win,Puck Recovery,Play,Play,Play,Incomplete Play,Takeaway,Play,Play,Play,Puck Recovery,Zone Entry,Puck Recovery,Play,Play,Dump In/Out,Puck Recovery,Play,Zone Entry,Play,Incomplete Play,Puck Recovery,Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
