,game_date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_2,X_Coordinate_2,Y_Coordinate_2,Time_Remaining,event_id,TeamIdentity,std_X,std_X_2,std_Y,std_Y_2,euc_dist,Score_Differential,Game_State,timeElapsed,secLastTeamEvent,secLastAnyEvent,Manpower,Posession_Change,HQ_Pass
33,2021-01-23,Minnesota Whitecaps,Boston Pride,1,18:51,5,5,0,0,Boston Pride,Christina Putigna,Incomplete Play,195,65,Direct,,,,McKenna Brand,175.0,47.0,1131,33,Away Team,5,25.0,20,38.0,26.90724809414742,0,Tied,"[4, 4]",4,4,Even,No,No
35,2021-01-23,Minnesota Whitecaps,Boston Pride,1,18:46,5,5,0,0,Minnesota Whitecaps,Allie Thunstrom,Play,3,44,Indirect,,,,Emma Stauber,6.0,12.0,1126,35,Home Team,3,6.0,44,12.0,32.14031735997639,0,Tied,"[3, 3]",3,3,Even,No,Yes
36,2021-01-23,Minnesota Whitecaps,Boston Pride,1,18:45,5,5,0,0,Minnesota Whitecaps,Emma Stauber,Play,11,6,Indirect,,,,Nina Rodgers,50.0,1.0,1125,36,Home Team,11,50.0,6,1.0,39.319206502675,0,Tied,"[2, 2]",2,2,Even,No,Yes
37,2021-01-23,Minnesota Whitecaps,Boston Pride,1,18:44,5,5,0,0,Minnesota Whitecaps,Nina Rodgers,Play,50,1,Direct,,,,Haylea Schmid,50.0,44.0,1124,37,Home Team,50,50.0,1,44.0,43.0,0,Tied,"[3, 3]",3,3,Even,No,No
38,2021-01-23,Minnesota Whitecaps,Boston Pride,1,18:41,5,5,0,0,Minnesota Whitecaps,Haylea Schmid,Incomplete Play,80,30,Direct,,,,Nina Rodgers,88.0,5.0,1121,38,Home Team,80,88.0,30,5.0,26.248809496813372,0,Tied,"[6, 3]",6,3,Even,Yes,No
40,2021-01-23,Minnesota Whitecaps,Boston Pride,1,18:39,5,5,0,0,Boston Pride,Taylor Turnquist,Play,73,81,Indirect,,,,Jillian Dempsey,117.0,75.0,1119,40,Away Team,127,83.0,4,10.0,44.407206622349044,0,Tied,"[5, 1]",5,1,Even,Yes,Yes
42,2021-01-23,Minnesota Whitecaps,Boston Pride,1,18:36,5,5,0,0,Boston Pride,Jillian Dempsey,Play,135,52,Direct,,,,McKenna Brand,168.0,74.0,1116,42,Away Team,65,32.0,33,11.0,39.66106403010389,0,Tied,"[0, 0]",0,0,Even,No,Yes
46,2021-01-23,Minnesota Whitecaps,Boston Pride,1,18:29,5,5,0,0,Boston Pride,Jillian Dempsey,Incomplete Play,174,82,Direct,,,,Lauren Kelly,165.0,22.0,1109,46,Away Team,26,35.0,3,63.0,60.67124524847005,0,Tied,"[-2, -2]",-2,-2,Even,No,No
51,2021-01-23,Minnesota Whitecaps,Boston Pride,1,18:20,5,5,0,0,Boston Pride,Mary Parker,Play,168,3,Indirect,,,,Lexie Laing,199.0,35.0,1100,51,Away Team,32,1.0,82,50.0,44.553338819890925,0,Tied,"[7, -3]",7,-3,Even,Yes,No
52,2021-01-23,Minnesota Whitecaps,Boston Pride,1,18:13,5,5,0,0,Boston Pride,Lexie Laing,Incomplete Play,185,74,Indirect,,,,Mary Parker,197.0,48.0,1093,52,Away Team,15,3.0,11,37.0,28.63564212655271,0,Tied,"[14, 1]",14,1,Even,Yes,No
54,2021-01-23,Minnesota Whitecaps,Boston Pride,1,18:11,5,5,0,0,Minnesota Whitecaps,Winny Brodt-Brown,Incomplete Play,12,12,Direct,,,,Jonna Curtis,54.0,3.0,1091,54,Home Team,12,54.0,12,3.0,42.953463189829066,0,Tied,"[0, 0]",0,0,Even,No,No
56,2021-01-23,Minnesota Whitecaps,Boston Pride,1,18:09,5,5,0,0,Boston Pride,Jenna Rheault,Play,133,79,Indirect,,,,Mary Parker,145.0,79.0,1089,56,Away Team,67,55.0,6,6.0,12.0,0,Tied,"[-2, -2]",-2,-2,Even,No,Yes
58,2021-01-23,Minnesota Whitecaps,Boston Pride,1,18:01,5,5,0,0,Boston Pride,Jenna Rheault,Play,52,13,Direct,,,,Paige Capistran,40.0,62.0,1081,58,Away Team,148,160.0,72,23.0,50.44799302251776,0,Tied,"[-14, -17]",-14,-17,Even,Yes,Yes
59,2021-01-23,Minnesota Whitecaps,Boston Pride,1,17:59,5,5,0,0,Boston Pride,Paige Capistran,Play,55,79,Direct,,,,Jenna Rheault,49.0,50.0,1079,59,Away Team,145,151.0,6,35.0,29.614185789921688,0,Tied,"[-12, -16]",-12,-16,Even,Yes,Yes
60,2021-01-23,Minnesota Whitecaps,Boston Pride,1,17:56,5,5,0,0,Boston Pride,Jenna Rheault,Incomplete Play,57,25,Direct,,,,Lexie Laing,85.0,8.0,1076,60,Away Team,143,115.0,60,77.0,32.756678708318404,0,Tied,"[-14, -14]",-14,-14,Even,No,No
65,2021-01-23,Minnesota Whitecaps,Boston Pride,1,17:49,5,5,0,0,Minnesota Whitecaps,Winny Brodt-Brown,Incomplete Play,3,35,Indirect,,,,Jonna Curtis,60.0,8.0,1069,65,Home Team,3,60.0,35,8.0,63.07138812488592,0,Tied,"[-6, -16]",-6,-16,Even,Yes,No
67,2021-01-23,Minnesota Whitecaps,Boston Pride,1,17:45,5,5,0,0,Boston Pride,Carlee Turner,Play,113,83,Indirect,,,,Jenna Rheault,60.0,76.0,1065,67,Away Team,87,140.0,2,9.0,53.460265618494645,0,Tied,"[-12, -15]",-12,-15,Even,Yes,Yes
68,2021-01-23,Minnesota Whitecaps,Boston Pride,1,17:43,5,5,0,0,Boston Pride,Jenna Rheault,Play,60,76,Direct,,,,Paige Capistran,53.0,26.0,1063,68,Away Team,140,147.0,9,59.0,50.48762224545735,0,Tied,"[-10, -18]",-10,-18,Even,Yes,No
69,2021-01-23,Minnesota Whitecaps,Boston Pride,1,17:42,5,5,0,0,Boston Pride,Paige Capistran,Play,53,26,Indirect,,,,Meaghan Rickard,96.0,6.0,1062,69,Away Team,147,104.0,59,79.0,47.4236228055175,0,Tied,"[-9, -19]",-9,-19,Even,Yes,No
72,2021-01-23,Minnesota Whitecaps,Boston Pride,1,17:36,5,5,0,0,Boston Pride,Meaghan Rickard,Incomplete Play,129,2,Indirect,,,,Carlee Turner,141.0,4.0,1056,72,Away Team,71,59.0,83,81.0,12.16552506059644,0,Tied,"[-3, -18]",-3,-18,Even,Yes,No
74,2021-01-23,Minnesota Whitecaps,Boston Pride,1,17:35,5,5,0,0,Minnesota Whitecaps,Stephanie Anderson,Play,37,80,Direct,,,,Winny Brodt-Brown,48.0,17.0,1055,74,Home Team,37,48.0,80,17.0,63.95310782127793,0,Tied,"[-17, -21]",-17,-21,Even,Yes,No
75,2021-01-23,Minnesota Whitecaps,Boston Pride,1,17:32,5,5,0,0,Minnesota Whitecaps,Winny Brodt-Brown,Incomplete Play,67,5,Indirect,,,,Meghan Lorence,117.0,5.0,1052,75,Home Team,67,117.0,5,5.0,50.0,0,Tied,"[-14, -18]",-14,-18,Even,Yes,No
77,2021-01-23,Minnesota Whitecaps,Boston Pride,1,17:27,5,5,0,0,Boston Pride,Mallory Souliotis,Play,3,39,Indirect,,,,Meghara McManus,24.0,84.0,1047,77,Away Team,197,176.0,46,1.0,49.65883607174055,0,Tied,"[-21, -21]",-21,-21,Even,No,No
78,2021-01-23,Minnesota Whitecaps,Boston Pride,1,17:20,5,5,0,0,Boston Pride,Meghara McManus,Incomplete Play,89,46,Direct,,,,Carlee Turner,130.0,73.0,1040,78,Away Team,111,70.0,39,12.0,49.09175083453431,0,Tied,"[-16, -16]",-16,-16,Even,No,No
83,2021-01-23,Minnesota Whitecaps,Boston Pride,1,17:11,5,5,0,0,Minnesota Whitecaps,Haley Mack,Play,22,3,Indirect,,,,Maddie Rowe,6.0,11.0,1031,83,Home Team,22,6.0,3,11.0,17.88854381999832,0,Tied,"[-12, -12]",-12,-12,Even,No,Yes
84,2021-01-23,Minnesota Whitecaps,Boston Pride,1,17:09,5,5,0,0,Minnesota Whitecaps,Maddie Rowe,Play,6,11,Direct,,,,Sydney Baldwin,2.0,40.0,1029,84,Home Team,6,2.0,11,40.0,29.27456233660889,0,Tied,"[-11, -11]",-11,-11,Even,No,Yes
85,2021-01-23,Minnesota Whitecaps,Boston Pride,1,17:06,5,5,0,0,Minnesota Whitecaps,Sydney Baldwin,Play,2,42,Indirect,,,,Meghan Lorence,18.0,80.0,1026,85,Home Team,2,18.0,42,80.0,41.23105625617661,0,Tied,"[-11, -11]",-11,-11,Even,No,Yes
86,2021-01-23,Minnesota Whitecaps,Boston Pride,1,17:03,5,5,0,0,Minnesota Whitecaps,Meghan Lorence,Play,18,80,Indirect,,,,Stephanie Anderson,54.0,80.0,1023,86,Home Team,18,54.0,80,80.0,36.0,0,Tied,"[-8, -13]",-8,-13,Even,Yes,No
87,2021-01-23,Minnesota Whitecaps,Boston Pride,1,17:01,5,5,0,0,Minnesota Whitecaps,Stephanie Anderson,Incomplete Play,70,66,Indirect,,,,Haley Mack,109.0,73.0,1021,87,Home Team,70,109.0,66,73.0,39.6232255123179,0,Tied,"[-6, -15]",-6,-15,Even,Yes,No
89,2021-01-23,Minnesota Whitecaps,Boston Pride,1,16:57,5,5,0,0,Boston Pride,Kaleigh Fratkin,Play,2,34,Indirect,,,,Mallory Souliotis,14.0,7.0,1017,89,Away Team,198,186.0,51,78.0,29.546573405388315,0,Tied,"[-12, -16]",-12,-16,Even,Yes,No
90,2021-01-23,Minnesota Whitecaps,Boston Pride,1,16:53,5,5,0,0,Boston Pride,Mallory Souliotis,Incomplete Play,19,4,Direct,,,,Samantha Davis,38.0,1.0,1013,90,Away Team,181,162.0,81,84.0,19.235384061671343,0,Tied,"[-8, -14]",-8,-14,Even,Yes,No
92,2021-01-23,Minnesota Whitecaps,Boston Pride,1,16:50,5,5,0,0,Minnesota Whitecaps,Allie Thunstrom,Play,199,53,Direct,,,,Haylea Schmid,180.0,48.0,1010,92,Home Team,199,180.0,53,48.0,19.6468827043885,0,Tied,"[-19, -19]",-19,-19,Even,No,Yes
95,2021-01-23,Minnesota Whitecaps,Boston Pride,1,16:47,5,5,0,0,Boston Pride,Samantha Davis,Incomplete Play,37,29,Direct,,,,Tereza Vanisova,60.0,46.0,1007,95,Away Team,163,140.0,56,39.0,28.600699292150182,0,Tied,"[-2, -28]",-2,-28,Even,Yes,No
97,2021-01-23,Minnesota Whitecaps,Boston Pride,1,16:40,5,5,0,0,Boston Pride,Tereza Vanisova,Incomplete Play,175,64,Direct,,,,Samantha Davis,180.0,42.0,1000,97,Away Team,25,20.0,21,43.0,22.56102834535696,0,Tied,"[5, -23]",5,-23,Even,Yes,No
99,2021-01-23,Minnesota Whitecaps,Boston Pride,1,16:38,5,5,0,0,Boston Pride,Taylor Wenczkowski,Play,174,63,Direct,,,,Taylor Turnquist,143.0,81.0,998,99,Away Team,26,57.0,22,4.0,35.84689665786984,0,Tied,"[-24, -24]",-24,-24,Even,No,Yes
100,2021-01-23,Minnesota Whitecaps,Boston Pride,1,16:32,5,5,0,0,Boston Pride,Taylor Turnquist,Play,198,61,Direct,,,,Samantha Davis,198.0,46.0,992,100,Away Team,2,2.0,24,39.0,15.0,0,Tied,"[-18, -19]",-18,-19,Even,Yes,Yes
101,2021-01-23,Minnesota Whitecaps,Boston Pride,1,16:30,5,5,0,0,Boston Pride,Samantha Davis,Play,193,19,Direct,,,,Lauren Kelly,163.0,10.0,990,101,Away Team,7,37.0,66,75.0,31.320919526731647,0,Tied,"[-16, -18]",-16,-18,Even,Yes,Yes
102,2021-01-23,Minnesota Whitecaps,Boston Pride,1,16:27,5,5,0,0,Boston Pride,Lauren Kelly,Incomplete Play,192,22,Direct,,,,Taylor Wenczkowski,175.0,45.0,987,102,Away Team,8,25.0,63,40.0,28.600699292150182,0,Tied,"[-13, -15]",-13,-15,Even,Yes,No
104,2021-01-23,Minnesota Whitecaps,Boston Pride,1,16:25,5,5,0,0,Boston Pride,Taylor Turnquist,Play,143,79,Direct,,,,Taylor Wenczkowski,186.0,68.0,985,104,Away Team,57,14.0,6,17.0,44.384682042344295,0,Tied,"[-11, -16]",-11,-16,Even,Yes,Yes
105,2021-01-23,Minnesota Whitecaps,Boston Pride,1,16:20,5,5,0,0,Boston Pride,Taylor Wenczkowski,Play,194,33,Direct,,,,Samantha Davis,197.0,22.0,980,105,Away Team,6,3.0,52,63.0,11.401754250991381,0,Tied,"[-6, -13]",-6,-13,Even,Yes,Yes
106,2021-01-23,Minnesota Whitecaps,Boston Pride,1,16:19,5,5,0,0,Boston Pride,Samantha Davis,Play,197,22,Direct,,,,Lauren Kelly,160.0,10.0,979,106,Away Team,3,40.0,63,75.0,38.89730067755345,0,Tied,"[-16, -16]",-16,-16,Even,No,Yes
112,2021-01-23,Minnesota Whitecaps,Boston Pride,1,16:10,5,5,0,0,Minnesota Whitecaps,Audra Richards,Play,55,31,Direct,,,,Emma Stauber,67.0,17.0,970,112,Home Team,55,67.0,31,17.0,18.439088914585774,0,Tied,"[-27, -27]",-27,-27,Even,No,Yes
113,2021-01-23,Minnesota Whitecaps,Boston Pride,1,16:08,5,5,0,0,Minnesota Whitecaps,Emma Stauber,Play,91,17,Direct,,,,Audra Richards,94.0,54.0,968,113,Home Team,91,94.0,17,54.0,37.12142238654117,0,Tied,"[-27, -27]",-27,-27,Even,No,Yes
115,2021-01-23,Minnesota Whitecaps,Boston Pride,1,16:05,5,5,0,0,Minnesota Whitecaps,Audra Richards,Incomplete Play,162,79,Direct,,,,Emma Stauber,173.0,43.0,965,115,Home Team,162,173.0,79,43.0,37.64306044943742,0,Tied,"[-26, -28]",-26,-28,Even,Yes,No
117,2021-01-23,Minnesota Whitecaps,Boston Pride,1,16:00,5,5,0,0,Boston Pride,Paige Capistran,Play,30,4,Indirect,,,,Jillian Dempsey,98.0,3.0,960,117,Away Team,170,102.0,81,82.0,68.00735254367721,0,Tied,"[-25, -27]",-25,-27,Even,Yes,Yes
122,2021-01-23,Minnesota Whitecaps,Boston Pride,1,15:53,5,5,0,0,Boston Pride,McKenna Brand,Incomplete Play,159,26,Direct,,,,Paige Capistran,130.0,9.0,953,122,Away Team,41,70.0,59,76.0,33.61547262794322,0,Tied,"[-26, -26]",-26,-26,Even,No,No
126,2021-01-23,Minnesota Whitecaps,Boston Pride,1,15:45,5,5,0,0,Boston Pride,Jenna Rheault,Play,5,66,Indirect,,,,McKenna Brand,62.0,84.0,945,126,Away Team,195,138.0,19,1.0,59.77457653551382,0,Tied,"[-23, -28]",-23,-28,Even,Yes,Yes
137,2021-01-23,Minnesota Whitecaps,Boston Pride,1,15:27,5,5,0,0,Boston Pride,Christina Putigna,Play,194,16,Indirect,,,,Jillian Dempsey,197.0,34.0,927,137,Away Team,6,3.0,69,51.0,18.248287590894662,0,Tied,"[-42, -42]",-42,-42,Even,No,No
138,2021-01-23,Minnesota Whitecaps,Boston Pride,1,15:23,5,5,0,0,Boston Pride,Jillian Dempsey,Incomplete Play,178,22,Direct,,,,Kaleigh Fratkin,134.0,55.0,923,138,Away Team,22,66.0,63,30.0,55.0,0,Tied,"[-38, -38]",-38,-38,Even,No,No
142,2021-01-23,Minnesota Whitecaps,Boston Pride,1,15:13,5,5,0,0,Boston Pride,Mallory Souliotis,Play,129,3,Indirect,,,,Lexie Laing,197.0,18.0,913,142,Away Team,71,3.0,82,67.0,69.63476143421474,0,Tied,"[-33, -33]",-33,-33,Even,No,No
143,2021-01-23,Minnesota Whitecaps,Boston Pride,1,15:10,5,5,0,0,Boston Pride,Lexie Laing,Incomplete Play,197,18,Indirect,,,,Tori Sullivan,150.0,48.0,910,143,Away Team,3,50.0,67,37.0,55.7584074378026,0,Tied,"[-32, -32]",-32,-32,Even,No,No
150,2021-01-23,Minnesota Whitecaps,Boston Pride,1,14:58,5,5,0,0,Minnesota Whitecaps,Brooke White,Incomplete Play,182,79,Indirect,,,,Lynn Astrup,197.0,48.0,898,150,Home Team,182,197.0,79,48.0,34.438350715445125,0,Tied,"[-29, -29]",-29,-29,Even,No,No
152,2021-01-23,Minnesota Whitecaps,Boston Pride,1,14:57,5,5,0,0,Boston Pride,Lexie Laing,Incomplete Play,14,7,Indirect,,,,Tori Sullivan,50.0,3.0,897,152,Away Team,186,150.0,78,82.0,36.22154055254967,0,Tied,"[-35, -35]",-35,-35,Even,No,No
154,2021-01-23,Minnesota Whitecaps,Boston Pride,1,14:55,5,5,0,0,Minnesota Whitecaps,Maddie Rowe,Incomplete Play,165,82,Indirect,,,,Lynn Astrup,199.0,51.0,895,154,Home Team,165,199.0,82,51.0,46.01086828130936,0,Tied,"[-34, -34]",-34,-34,Even,No,No
156,2021-01-23,Minnesota Whitecaps,Boston Pride,1,14:51,5,5,0,0,Boston Pride,Lexie Laing,Play,47,45,Direct,,,,Tori Sullivan,79.0,7.0,891,156,Away Team,153,121.0,40,78.0,49.67896939349689,0,Tied,"[-34, -34]",-34,-34,Even,No,Yes
158,2021-01-23,Minnesota Whitecaps,Boston Pride,1,14:46,5,5,0,0,Boston Pride,Tori Sullivan,Play,131,18,Direct,,,,Lexie Laing,147.0,10.0,886,158,Away Team,69,53.0,67,75.0,17.88854381999832,0,Tied,"[-34, -34]",-34,-34,Even,No,Yes
162,2021-01-23,Minnesota Whitecaps,Boston Pride,1,14:37,5,5,0,0,Minnesota Whitecaps,Maddie Rowe,Incomplete Play,12,66,Direct,,,,Sara Bustad,52.0,81.0,877,162,Home Team,12,52.0,66,81.0,42.72001872658765,0,Tied,"[-34, -34]",-34,-34,Even,No,No
164,2021-01-23,Minnesota Whitecaps,Boston Pride,1,14:30,5,5,0,0,Boston Pride,Mallory Souliotis,Play,2,30,Direct,,,,Kaleigh Fratkin,5.0,18.0,870,164,Away Team,198,195.0,55,67.0,12.369316876852979,0,Tied,"[-30, -30]",-30,-30,Even,No,Yes
165,2021-01-23,Minnesota Whitecaps,Boston Pride,1,14:27,5,5,0,0,Boston Pride,Kaleigh Fratkin,Play,28,5,Direct,,,,Meaghan Rickard,73.0,7.0,867,165,Away Team,172,127.0,80,78.0,45.04442251822083,0,Tied,"[-28, -28]",-28,-28,Even,No,Yes
166,2021-01-23,Minnesota Whitecaps,Boston Pride,1,14:25,5,5,0,0,Boston Pride,Meaghan Rickard,Play,76,18,Direct,,,,Carlee Turner,112.0,16.0,865,166,Away Team,124,88.0,67,69.0,36.05551275463989,0,Tied,"[-34, -34]",-34,-34,Even,No,Yes
172,2021-01-23,Minnesota Whitecaps,Boston Pride,1,14:16,5,5,0,0,Minnesota Whitecaps,Stephanie Anderson,Incomplete Play,30,81,Indirect,,,,Emma Stauber,5.0,47.0,856,172,Home Team,30,5.0,81,47.0,42.20189569201838,0,Tied,"[-36, -36]",-36,-36,Even,No,No
174,2021-01-23,Minnesota Whitecaps,Boston Pride,1,14:14,5,5,0,0,Minnesota Whitecaps,Stephanie Anderson,Play,2,55,Direct,,,,Emma Stauber,5.0,19.0,854,174,Home Team,2,5.0,55,19.0,36.124783736376884,0,Tied,"[-39, -39]",-39,-39,Even,No,Yes
175,2021-01-23,Minnesota Whitecaps,Boston Pride,1,14:12,5,5,0,0,Minnesota Whitecaps,Emma Stauber,Play,9,14,Direct,,,,Haley Mack,41.0,3.0,852,175,Home Team,9,41.0,14,3.0,33.83784863137726,0,Tied,"[-40, -40]",-40,-40,Even,No,No
176,2021-01-23,Minnesota Whitecaps,Boston Pride,1,14:11,5,5,0,0,Minnesota Whitecaps,Haley Mack,Incomplete Play,53,0,Direct,,,,Meghan Lorence,86.0,21.0,851,176,Home Team,53,86.0,0,21.0,39.11521443121589,0,Tied,"[-40, -40]",-40,-40,Even,No,No
178,2021-01-23,Minnesota Whitecaps,Boston Pride,1,14:04,5,5,0,0,Boston Pride,Lauren Kelly,Play,2,38,Direct,,,,Taylor Turnquist,2.0,45.0,844,178,Away Team,198,198.0,47,40.0,7.0,0,Tied,"[-41, -41]",-41,-41,Even,No,No
180,2021-01-23,Minnesota Whitecaps,Boston Pride,1,13:56,5,5,0,0,Minnesota Whitecaps,Haley Mack,Play,181,4,Indirect,,,,Stephanie Anderson,195.0,15.0,836,180,Home Team,181,195.0,4,15.0,17.804493814764854,0,Tied,"[-35, -35]",-35,-35,Even,No,No
183,2021-01-23,Minnesota Whitecaps,Boston Pride,1,13:51,5,5,0,0,Minnesota Whitecaps,Chelsey Brodt-Rosenthal,Incomplete Play,186,78,Indirect,,,,Meghan Lorence,194.0,17.0,831,183,Home Team,186,194.0,78,17.0,61.522353661088104,0,Tied,"[-30, -36]",-30,-36,Even,Yes,No
190,2021-01-23,Minnesota Whitecaps,Boston Pride,1,13:38,5,5,0,0,Minnesota Whitecaps,Amanda Leveille,Play,1,40,Direct,,,,Chelsey Brodt-Rosenthal,2.0,37.0,818,190,Home Team,1,2.0,40,37.0,3.1622776601683795,0,Tied,"[-33, -33]",-33,-33,Even,No,No
191,2021-01-23,Minnesota Whitecaps,Boston Pride,1,13:36,5,5,0,0,Minnesota Whitecaps,Chelsey Brodt-Rosenthal,Incomplete Play,26,25,Direct,,,,Stephanie Anderson,80.0,3.0,816,191,Home Team,26,80.0,25,3.0,58.309518948453004,0,Tied,"[-31, -34]",-31,-34,Even,Yes,No
194,2021-01-23,Minnesota Whitecaps,Boston Pride,1,13:31,5,5,0,0,Boston Pride,Taylor Wenczkowski,Play,168,60,Direct,,,,Samantha Davis,143.0,79.0,811,194,Away Team,32,57.0,25,6.0,31.40063693621516,0,Tied,"[-40, -40]",-40,-40,Even,No,Yes
195,2021-01-23,Minnesota Whitecaps,Boston Pride,1,13:30,5,5,0,0,Boston Pride,Samantha Davis,Play,143,79,Direct,,,,Jenna Rheault,128.0,83.0,810,195,Away Team,57,72.0,6,2.0,15.524174696260026,0,Tied,"[-39, -41]",-39,-41,Even,Yes,Yes
196,2021-01-23,Minnesota Whitecaps,Boston Pride,1,13:28,5,5,0,0,Boston Pride,Jenna Rheault,Incomplete Play,128,83,Indirect,,,,Tereza Vanisova,178.0,82.0,808,196,Away Team,72,22.0,2,3.0,50.009999000199954,0,Tied,"[-37, -41]",-37,-41,Even,Yes,No
198,2021-01-23,Minnesota Whitecaps,Boston Pride,1,13:23,5,5,0,0,Boston Pride,Taylor Wenczkowski,Play,180,4,Indirect,,,,Tereza Vanisova,197.0,18.0,803,198,Away Team,20,3.0,81,67.0,22.02271554554524,0,Tied,"[-32, -41]",-32,-41,Even,Yes,Yes
199,2021-01-23,Minnesota Whitecaps,Boston Pride,1,13:15,5,5,0,0,Boston Pride,Tereza Vanisova,Incomplete Play,197,25,Direct,,,,Taylor Wenczkowski,183.0,37.0,795,199,Away Team,3,17.0,60,48.0,18.439088914585774,0,Tied,"[-24, -34]",-24,-34,Even,Yes,No
201,2021-01-23,Minnesota Whitecaps,Boston Pride,1,13:11,5,5,0,0,Boston Pride,Samantha Davis,Play,167,5,Direct,,,,Tereza Vanisova,154.0,5.0,791,201,Away Team,33,46.0,80,80.0,13.0,0,Tied,"[-31, -34]",-31,-34,Even,Yes,Yes
202,2021-01-23,Minnesota Whitecaps,Boston Pride,1,13:10,5,5,0,0,Boston Pride,Tereza Vanisova,Play,144,14,Direct,,,,Jenna Rheault,137.0,57.0,790,202,Away Team,56,63.0,71,28.0,43.56604182158393,0,Tied,"[-30, -33]",-30,-33,Even,Yes,Yes
206,2021-01-23,Minnesota Whitecaps,Boston Pride,1,12:59,5,5,0,0,Minnesota Whitecaps,Allie Thunstrom,Incomplete Play,174,67,Direct,,,,Nina Rodgers,183.0,34.0,779,206,Home Team,174,183.0,67,34.0,34.205262752974136,0,Tied,"[-22, -31]",-22,-31,Even,Yes,No
208,2021-01-23,Minnesota Whitecaps,Boston Pride,1,12:54,5,5,0,0,Boston Pride,Jenna Rheault,Incomplete Play,54,8,Direct,,,,Taylor Wenczkowski,114.0,30.0,774,208,Away Team,146,86.0,77,55.0,63.906181234681824,0,Tied,"[-27, -27]",-27,-27,Even,No,No
