,pairID,game_date,Player,Event,X,Y,Team,Manpower,Type,State,sec_Control,passDirection
21,2019-09-20-24,2019-09-20,Hayden Fowler,Play,113.0,55.0,Erie Otters,Even,Direct,Tied,2,Forward
22,2019-09-20-27,2019-09-20,Jamie Drysdale,Incomplete Play,139,4,Erie Otters,Even,Direct,Tied,0,Forward
23,2019-09-20-27,2019-09-20,Jamie Drysdale,Incomplete Play,189.0,18.0,Erie Otters,Even,Direct,Tied,0,Forward
24,2019-09-20-29,2019-09-20,Emmett Serensits,Play,44,80,Sudbury Wolves,Even,Indirect,Tied,2,Forward
25,2019-09-20-29,2019-09-20,Emmett Serensits,Play,70.0,78.0,Sudbury Wolves,Even,Indirect,Tied,2,Forward
26,2019-09-20-32,2019-09-20,Jamie Drysdale,Play,87,24,Erie Otters,Even,Direct,Tied,2,Forward
27,2019-09-20-32,2019-09-20,Jamie Drysdale,Play,116.0,80.0,Erie Otters,Even,Direct,Tied,2,Forward
28,2019-09-20-38,2019-09-20,Jack Thompson,Play,4,41,Sudbury Wolves,Even,Direct,Tied,1,Forward
29,2019-09-20-38,2019-09-20,Jack Thompson,Play,24.0,73.0,Sudbury Wolves,Even,Direct,Tied,1,Forward
30,2019-09-20-39,2019-09-20,Landon McCallum,Incomplete Play,47,79,Sudbury Wolves,Even,Direct,Tied,1,Forward
31,2019-09-20-39,2019-09-20,Landon McCallum,Incomplete Play,111.0,48.0,Sudbury Wolves,Even,Direct,Tied,1,Forward
32,2019-09-20-41,2019-09-20,Jacob Golden,Incomplete Play,49,67,Erie Otters,Even,Direct,Tied,2,Forward
33,2019-09-20-41,2019-09-20,Jacob Golden,Incomplete Play,82.0,79.0,Erie Otters,Even,Direct,Tied,2,Forward
34,2019-09-20-43,2019-09-20,Isaak Phillips,Incomplete Play,73,19,Sudbury Wolves,Even,Direct,Tied,2,Forward
35,2019-09-20-43,2019-09-20,Isaak Phillips,Incomplete Play,116.0,74.0,Sudbury Wolves,Even,Direct,Tied,2,Forward
36,2019-09-20-45,2019-09-20,Austen Swankler,Play,98,32,Erie Otters,Even,Direct,Tied,1,Forward
37,2019-09-20-45,2019-09-20,Austen Swankler,Play,104.0,36.0,Erie Otters,Even,Direct,Tied,1,Forward
38,2019-09-20-48,2019-09-20,Jack Thompson,Incomplete Play,71,83,Sudbury Wolves,Even,Indirect,Tied,0,Forward
39,2019-09-20-48,2019-09-20,Jack Thompson,Incomplete Play,84.0,83.0,Sudbury Wolves,Even,Indirect,Tied,0,Forward
40,2019-09-20-50,2019-09-20,Jack Duff,Play,76,1,Erie Otters,Even,Direct,Tied,0,Back
41,2019-09-20-50,2019-09-20,Jack Duff,Play,55.0,47.0,Erie Otters,Even,Direct,Tied,0,Back
42,2019-09-20-51,2019-09-20,Jamie Drysdale,Play,56,59,Erie Otters,Even,Direct,Tied,2,Forward
43,2019-09-20-51,2019-09-20,Jamie Drysdale,Play,84.0,25.0,Erie Otters,Even,Direct,Tied,2,Forward
44,2019-09-20-60,2019-09-20,Quinton Byfield,Play,196,60,Sudbury Wolves,Even,Indirect,Tied,2,Back
45,2019-09-20-60,2019-09-20,Quinton Byfield,Play,182.0,82.0,Sudbury Wolves,Even,Indirect,Tied,2,Back
46,2019-09-20-61,2019-09-20,Owen Robinson,Play,182,82,Sudbury Wolves,Even,Indirect,Tied,2,Forward
47,2019-09-20-61,2019-09-20,Owen Robinson,Play,197.0,58.0,Sudbury Wolves,Even,Indirect,Tied,2,Forward
48,2019-09-20-62,2019-09-20,Quinton Byfield,Play,162,4,Sudbury Wolves,Even,Indirect,Tied,3,Forward
49,2019-09-20-62,2019-09-20,Quinton Byfield,Play,199.0,43.0,Sudbury Wolves,Even,Indirect,Tied,3,Forward
50,2019-09-20-63,2019-09-20,Chase Stillman,Play,199,43,Sudbury Wolves,Even,Indirect,Tied,2,Neutral
51,2019-09-20-63,2019-09-20,Chase Stillman,Play,195.0,24.0,Sudbury Wolves,Even,Indirect,Tied,2,Neutral
52,2019-09-20-64,2019-09-20,Owen Robinson,Incomplete Play,193,26,Sudbury Wolves,Even,Direct,Tied,2,Back
53,2019-09-20-64,2019-09-20,Owen Robinson,Incomplete Play,166.0,28.0,Sudbury Wolves,Even,Direct,Tied,2,Back
54,2019-09-20-66,2019-09-20,Quinton Byfield,Play,81,17,Sudbury Wolves,Even,Direct,Tied,2,Back
55,2019-09-20-66,2019-09-20,Quinton Byfield,Play,64.0,46.0,Sudbury Wolves,Even,Direct,Tied,2,Back
56,2019-09-20-67,2019-09-20,Kalle Loponen,Play,54,46,Sudbury Wolves,Even,Indirect,Tied,2,Forward
57,2019-09-20-67,2019-09-20,Kalle Loponen,Play,94.0,64.0,Sudbury Wolves,Even,Indirect,Tied,2,Forward
58,2019-09-20-74,2019-09-20,Kurtis Henry,Play,61,79,Erie Otters,Even,Indirect,Tied,2,Forward
59,2019-09-20-74,2019-09-20,Kurtis Henry,Play,105.0,78.0,Erie Otters,Even,Indirect,Tied,2,Forward
60,2019-09-20-78,2019-09-20,Nathan Ribau,Play,8,18,Sudbury Wolves,Even,Indirect,Tied,1,Neutral
61,2019-09-20-78,2019-09-20,Nathan Ribau,Play,3.0,57.0,Sudbury Wolves,Even,Indirect,Tied,1,Neutral
62,2019-09-20-79,2019-09-20,Liam Ross,Incomplete Play,7,70,Sudbury Wolves,Even,Indirect,Tied,2,Forward
63,2019-09-20-79,2019-09-20,Liam Ross,Incomplete Play,21.0,65.0,Sudbury Wolves,Even,Indirect,Tied,2,Forward
64,2019-09-20-81,2019-09-20,Kurtis Henry,Incomplete Play,160,16,Erie Otters,Even,Direct,Tied,3,Forward
65,2019-09-20-81,2019-09-20,Kurtis Henry,Incomplete Play,173.0,62.0,Erie Otters,Even,Direct,Tied,3,Forward
66,2019-09-20-83,2019-09-20,Maxim Golod,Play,141,82,Erie Otters,Even,Indirect,Tied,3,Neutral
67,2019-09-20-83,2019-09-20,Maxim Golod,Play,141.0,82.0,Erie Otters,Even,Indirect,Tied,3,Neutral
68,2019-09-20-84,2019-09-20,Jamie Drysdale,Play,141,82,Erie Otters,Even,Indirect,Tied,1,Forward
69,2019-09-20-84,2019-09-20,Jamie Drysdale,Play,174.0,82.0,Erie Otters,Even,Indirect,Tied,1,Forward
70,2019-09-20-85,2019-09-20,Alex Gritz,Play,174,82,Erie Otters,Even,Indirect,Tied,2,Forward
71,2019-09-20-85,2019-09-20,Alex Gritz,Play,197.0,46.0,Erie Otters,Even,Indirect,Tied,2,Forward
72,2019-09-20-86,2019-09-20,Elias Cohen,Play,184,18,Erie Otters,Even,Direct,Tied,4,Back
73,2019-09-20-86,2019-09-20,Elias Cohen,Play,131.0,6.0,Erie Otters,Even,Direct,Tied,4,Back
74,2019-09-20-91,2019-09-20,Alex Gritz,Play,193,57,Erie Otters,Even,Indirect,Tied,2,Back
75,2019-09-20-91,2019-09-20,Alex Gritz,Play,129.0,82.0,Erie Otters,Even,Indirect,Tied,2,Back
76,2019-09-20-92,2019-09-20,Jamie Drysdale,Incomplete Play,173,66,Erie Otters,Even,Direct,Tied,5,Forward
77,2019-09-20-92,2019-09-20,Jamie Drysdale,Incomplete Play,185.0,41.0,Erie Otters,Even,Direct,Tied,5,Forward
78,2019-09-20-94,2019-09-20,Kurtis Henry,Play,12,77,Erie Otters,Even,Indirect,Tied,6,Back
79,2019-09-20-94,2019-09-20,Kurtis Henry,Play,4.0,68.0,Erie Otters,Even,Indirect,Tied,6,Back
80,2019-09-20-95,2019-09-20,Jamie Drysdale,Play,4,68,Erie Otters,Even,Direct,Tied,2,Forward
81,2019-09-20-95,2019-09-20,Jamie Drysdale,Play,18.0,80.0,Erie Otters,Even,Direct,Tied,2,Forward
82,2019-09-20-96,2019-09-20,Kurtis Henry,Play,39,78,Erie Otters,Even,Direct,Tied,4,Back
83,2019-09-20-96,2019-09-20,Kurtis Henry,Play,32.0,32.0,Erie Otters,Even,Direct,Tied,4,Back
84,2019-09-20-97,2019-09-20,Jamie Drysdale,Incomplete Play,27,14,Erie Otters,Even,Indirect,Tied,3,Forward
85,2019-09-20-97,2019-09-20,Jamie Drysdale,Incomplete Play,60.0,3.0,Erie Otters,Even,Indirect,Tied,3,Forward
86,2019-09-20-101,2019-09-20,Jamie Drysdale,Play,21,57,Erie Otters,Even,Direct,Tied,0,Forward
87,2019-09-20-101,2019-09-20,Jamie Drysdale,Play,34.0,66.0,Erie Otters,Even,Direct,Tied,0,Forward
88,2019-09-20-102,2019-09-20,Alex Gritz,Incomplete Play,34,66,Erie Otters,Even,Direct,Tied,2,Forward
89,2019-09-20-102,2019-09-20,Alex Gritz,Incomplete Play,40.0,81.0,Erie Otters,Even,Direct,Tied,2,Forward
90,2019-09-20-104,2019-09-20,Kurtis Henry,Play,54,34,Erie Otters,Even,Indirect,Tied,1,Forward
91,2019-09-20-104,2019-09-20,Kurtis Henry,Play,79.0,3.0,Erie Otters,Even,Indirect,Tied,1,Forward
92,2019-09-20-107,2019-09-20,Shane Bulitka,Incomplete Play,112,83,Sudbury Wolves,Even,Direct,Tied,0,Back
93,2019-09-20-107,2019-09-20,Shane Bulitka,Incomplete Play,92.0,56.0,Sudbury Wolves,Even,Direct,Tied,0,Back
94,2019-09-20-109,2019-09-20,Blake Murray,Play,119,60,Sudbury Wolves,Even,Direct,Tied,0,Back
95,2019-09-20-109,2019-09-20,Blake Murray,Play,89.0,46.0,Sudbury Wolves,Even,Direct,Tied,0,Back
96,2019-09-20-111,2019-09-20,Shane Bulitka,Play,93,61,Sudbury Wolves,Even,Direct,Tied,0,Forward
97,2019-09-20-111,2019-09-20,Shane Bulitka,Play,111.0,70.0,Sudbury Wolves,Even,Direct,Tied,0,Forward
98,2019-09-20-112,2019-09-20,Owen Gilhula,Play,111,70,Sudbury Wolves,Even,Indirect,Tied,1,Neutral
99,2019-09-20-112,2019-09-20,Owen Gilhula,Play,112.0,10.0,Sudbury Wolves,Even,Indirect,Tied,1,Neutral
100,2019-09-20-116,2019-09-20,Brendan Kischnick,Incomplete Play,18,77,Erie Otters,Even,Indirect,Tied,0,Forward
101,2019-09-20-116,2019-09-20,Brendan Kischnick,Incomplete Play,61.0,81.0,Erie Otters,Even,Indirect,Tied,0,Forward
102,2019-09-20-121,2019-09-20,Jamie Drysdale,Play,102,3,Erie Otters,Even,Direct,Tied,3,Forward
103,2019-09-20-121,2019-09-20,Jamie Drysdale,Play,109.0,2.0,Erie Otters,Even,Direct,Tied,3,Forward
104,2019-09-20-122,2019-09-20,Connor Lockhart,Incomplete Play,109,2,Erie Otters,Even,Direct,Tied,0,Neutral
105,2019-09-20-122,2019-09-20,Connor Lockhart,Incomplete Play,110.0,19.0,Erie Otters,Even,Direct,Tied,0,Neutral
106,2019-09-20-124,2019-09-20,Blake Murray,Play,82,73,Sudbury Wolves,Even,Direct,Tied,2,Forward
107,2019-09-20-124,2019-09-20,Blake Murray,Play,98.0,60.0,Sudbury Wolves,Even,Direct,Tied,2,Forward
108,2019-09-20-125,2019-09-20,Shane Bulitka,Play,98,60,Sudbury Wolves,Even,Indirect,Tied,0,Neutral
109,2019-09-20-125,2019-09-20,Shane Bulitka,Play,103.0,62.0,Sudbury Wolves,Even,Indirect,Tied,0,Neutral
110,2019-09-20-128,2019-09-20,Brendan Sellan,Play,46,81,Erie Otters,Even,Direct,Tied,1,Forward
111,2019-09-20-128,2019-09-20,Brendan Sellan,Play,63.0,81.0,Erie Otters,Even,Direct,Tied,1,Forward
112,2019-09-20-129,2019-09-20,Connor Lockhart,Play,63,81,Erie Otters,Even,Direct,Tied,0,Back
113,2019-09-20-129,2019-09-20,Connor Lockhart,Play,56.0,53.0,Erie Otters,Even,Direct,Tied,0,Back
114,2019-09-20-130,2019-09-20,Jamie Drysdale,Play,61,31,Erie Otters,Even,Direct,Tied,8,Forward
115,2019-09-20-130,2019-09-20,Jamie Drysdale,Play,108.0,74.0,Erie Otters,Even,Direct,Tied,8,Forward
116,2019-09-20-132,2019-09-20,Brendan Sellan,Incomplete Play,140,79,Erie Otters,Even,Indirect,Tied,3,Forward
117,2019-09-20-132,2019-09-20,Brendan Sellan,Incomplete Play,178.0,80.0,Erie Otters,Even,Indirect,Tied,3,Forward
118,2019-09-20-134,2019-09-20,Kalle Loponen,Play,27,3,Sudbury Wolves,Even,Indirect,Tied,0,Forward
119,2019-09-20-134,2019-09-20,Kalle Loponen,Play,41.0,3.0,Sudbury Wolves,Even,Indirect,Tied,0,Forward
120,2019-09-20-135,2019-09-20,Owen Robinson,Incomplete Play,41,3,Sudbury Wolves,Even,Direct,Tied,1,Forward
121,2019-09-20-135,2019-09-20,Owen Robinson,Incomplete Play,59.0,12.0,Sudbury Wolves,Even,Direct,Tied,1,Forward
122,2019-09-20-137,2019-09-20,Emmett Serensits,Play,25,29,Sudbury Wolves,Even,Direct,Tied,0,Forward
123,2019-09-20-137,2019-09-20,Emmett Serensits,Play,62.0,17.0,Sudbury Wolves,Even,Direct,Tied,0,Forward
124,2019-09-20-138,2019-09-20,Quinton Byfield,Incomplete Play,52,2,Sudbury Wolves,Even,Indirect,Tied,5,Forward
125,2019-09-20-138,2019-09-20,Quinton Byfield,Incomplete Play,131.0,3.0,Sudbury Wolves,Even,Indirect,Tied,5,Forward
126,2019-09-20-141,2019-09-20,Emmett Serensits,Play,6,59,Sudbury Wolves,Even,Indirect,Tied,3,Forward
127,2019-09-20-141,2019-09-20,Emmett Serensits,Play,43.0,83.0,Sudbury Wolves,Even,Indirect,Tied,3,Forward
128,2019-09-20-145,2019-09-20,Mitchell Weeks,Play,3,43,Sudbury Wolves,Even,Indirect,Tied,1,Forward
129,2019-09-20-145,2019-09-20,Mitchell Weeks,Play,36.0,82.0,Sudbury Wolves,Even,Indirect,Tied,1,Forward
130,2019-09-20-146,2019-09-20,Landon McCallum,Play,30,82,Sudbury Wolves,Even,Indirect,Tied,3,Back
131,2019-09-20-146,2019-09-20,Landon McCallum,Play,5.0,67.0,Sudbury Wolves,Even,Indirect,Tied,3,Back
132,2019-09-20-147,2019-09-20,Kalle Loponen,Incomplete Play,5,67,Sudbury Wolves,Even,Indirect,Tied,2,Forward
133,2019-09-20-147,2019-09-20,Kalle Loponen,Incomplete Play,34.0,6.0,Sudbury Wolves,Even,Indirect,Tied,2,Forward
134,2019-09-20-149,2019-09-20,Austen Swankler,Incomplete Play,168,82,Erie Otters,Even,Indirect,Tied,0,Forward
135,2019-09-20-149,2019-09-20,Austen Swankler,Incomplete Play,189.0,69.0,Erie Otters,Even,Indirect,Tied,0,Forward
136,2019-09-20-151,2019-09-20,Emmett Serensits,Incomplete Play,23,80,Sudbury Wolves,Even,Indirect,Tied,2,Forward
137,2019-09-20-151,2019-09-20,Emmett Serensits,Incomplete Play,64.0,78.0,Sudbury Wolves,Even,Indirect,Tied,2,Forward
138,2019-09-20-153,2019-09-20,Austen Swankler,Incomplete Play,140,7,Erie Otters,Even,Indirect,Tied,0,Forward
139,2019-09-20-153,2019-09-20,Austen Swankler,Incomplete Play,151.0,7.0,Erie Otters,Even,Indirect,Tied,0,Forward
140,2019-09-20-155,2019-09-20,Emmett Serensits,Incomplete Play,38,60,Sudbury Wolves,Even,Direct,Tied,0,Forward
141,2019-09-20-155,2019-09-20,Emmett Serensits,Incomplete Play,49.0,59.0,Sudbury Wolves,Even,Direct,Tied,0,Forward
142,2019-09-20-159,2019-09-20,Macauley Carson,Incomplete Play,27,3,Sudbury Wolves,Even,Indirect,Tied,0,Forward
143,2019-09-20-159,2019-09-20,Macauley Carson,Incomplete Play,101.0,28.0,Sudbury Wolves,Even,Indirect,Tied,0,Forward
144,2019-09-20-161,2019-09-20,Luke Beamish,Play,67,34,Erie Otters,Even,Direct,Tied,1,Forward
145,2019-09-20-161,2019-09-20,Luke Beamish,Play,108.0,46.0,Erie Otters,Even,Direct,Tied,1,Forward
146,2019-09-20-162,2019-09-20,Austen Swankler,Incomplete Play,103,47,Erie Otters,Even,Direct,Tied,1,Neutral
147,2019-09-20-162,2019-09-20,Austen Swankler,Incomplete Play,105.0,65.0,Erie Otters,Even,Direct,Tied,1,Neutral
148,2019-09-20-164,2019-09-20,Kalle Loponen,Incomplete Play,81,16,Sudbury Wolves,Even,Indirect,Tied,0,Forward
149,2019-09-20-164,2019-09-20,Kalle Loponen,Incomplete Play,115.0,6.0,Sudbury Wolves,Even,Indirect,Tied,0,Forward
150,2019-09-20-166,2019-09-20,Austen Swankler,Play,43,62,Erie Otters,Even,Direct,Tied,1,Forward
151,2019-09-20-166,2019-09-20,Austen Swankler,Play,69.0,52.0,Erie Otters,Even,Direct,Tied,1,Forward
152,2019-09-20-169,2019-09-20,Nolan Hutcheson,Play,136,65,Sudbury Wolves,Even,Indirect,Tied,1,Neutral
153,2019-09-20-169,2019-09-20,Nolan Hutcheson,Play,139.0,69.0,Sudbury Wolves,Even,Indirect,Tied,1,Neutral
154,2019-09-20-170,2019-09-20,Landon McCallum,Play,149,67,Sudbury Wolves,Even,Direct,Tied,2,Forward
155,2019-09-20-170,2019-09-20,Landon McCallum,Play,155.0,51.0,Sudbury Wolves,Even,Direct,Tied,2,Forward
156,2019-09-20-173,2019-09-20,Jacob Golden,Play,17,52,Erie Otters,Even,Direct,Tied,0,Forward
157,2019-09-20-173,2019-09-20,Jacob Golden,Play,35.0,79.0,Erie Otters,Even,Direct,Tied,0,Forward
158,2019-09-20-174,2019-09-20,Brendan Hoffmann,Play,61,82,Erie Otters,Even,Direct,Tied,2,Forward
159,2019-09-20-174,2019-09-20,Brendan Hoffmann,Play,80.0,77.0,Erie Otters,Even,Direct,Tied,2,Forward
160,2019-09-20-176,2019-09-20,Jacob Golden,Play,130,52,Erie Otters,Even,Direct,Tied,0,Forward
161,2019-09-20-176,2019-09-20,Jacob Golden,Play,136.0,36.0,Erie Otters,Even,Direct,Tied,0,Forward
162,2019-09-20-177,2019-09-20,Emmett Sproule,Play,136,36,Erie Otters,Even,Direct,Tied,1,Forward
163,2019-09-20-177,2019-09-20,Emmett Sproule,Play,161.0,56.0,Erie Otters,Even,Direct,Tied,1,Forward
164,2019-09-20-181,2019-09-20,Chase Stillman,Incomplete Play,43,83,Sudbury Wolves,Even,Direct,Tied,1,Forward
165,2019-09-20-181,2019-09-20,Chase Stillman,Incomplete Play,70.0,59.0,Sudbury Wolves,Even,Direct,Tied,1,Forward
166,2019-09-20-186,2019-09-20,Kalle Loponen,Play,47,75,Sudbury Wolves,Even,Direct,Tied,1,Back
167,2019-09-20-186,2019-09-20,Kalle Loponen,Play,33.0,28.0,Sudbury Wolves,Even,Direct,Tied,1,Back
168,2019-09-20-187,2019-09-20,Liam Ross,Play,39,20,Sudbury Wolves,Even,Direct,Tied,1,Forward
169,2019-09-20-187,2019-09-20,Liam Ross,Play,65.0,22.0,Sudbury Wolves,Even,Direct,Tied,1,Forward
170,2019-09-20-189,2019-09-20,Maxim Golod,Play,87,43,Erie Otters,Even,Direct,Tied,0,Back
171,2019-09-20-189,2019-09-20,Maxim Golod,Play,53.0,37.0,Erie Otters,Even,Direct,Tied,0,Back
172,2019-09-20-190,2019-09-20,Jack Duff,Play,47,38,Erie Otters,Even,Direct,Tied,1,Neutral
173,2019-09-20-190,2019-09-20,Jack Duff,Play,47.0,60.0,Erie Otters,Even,Direct,Tied,1,Neutral
174,2019-09-20-191,2019-09-20,Jacob Golden,Incomplete Play,53,81,Erie Otters,Even,Direct,Tied,2,Forward
175,2019-09-20-191,2019-09-20,Jacob Golden,Incomplete Play,80.0,50.0,Erie Otters,Even,Direct,Tied,2,Forward
176,2019-09-20-193,2019-09-20,Quinton Byfield,Play,148,5,Sudbury Wolves,Even,Indirect,Tied,3,Neutral
177,2019-09-20-193,2019-09-20,Quinton Byfield,Play,150.0,77.0,Sudbury Wolves,Even,Indirect,Tied,3,Neutral
178,2019-09-20-196,2019-09-20,Chad Yetman,Play,35,16,Erie Otters,Even,Direct,Tied,1,Forward
179,2019-09-20-196,2019-09-20,Chad Yetman,Play,58.0,33.0,Erie Otters,Even,Direct,Tied,1,Forward
180,2019-09-20-197,2019-09-20,Danial Singer,Play,62,34,Erie Otters,Even,Direct,Tied,2,Forward
181,2019-09-20-197,2019-09-20,Danial Singer,Play,160.0,29.0,Erie Otters,Even,Direct,Tied,2,Forward
182,2019-09-20-205,2019-09-20,Isaak Phillips,Play,8,21,Sudbury Wolves,Even,Direct,Close Trail,0,Forward
183,2019-09-20-205,2019-09-20,Isaak Phillips,Play,36.0,21.0,Sudbury Wolves,Even,Direct,Close Trail,0,Forward
184,2019-09-20-206,2019-09-20,Blake Murray,Play,36,21,Sudbury Wolves,Even,Direct,Close Trail,2,Forward
185,2019-09-20-206,2019-09-20,Blake Murray,Play,50.0,3.0,Sudbury Wolves,Even,Direct,Close Trail,2,Forward
186,2019-09-20-207,2019-09-20,Shane Bulitka,Play,56,4,Sudbury Wolves,Even,Direct,Close Trail,1,Forward
187,2019-09-20-207,2019-09-20,Shane Bulitka,Play,66.0,60.0,Sudbury Wolves,Even,Direct,Close Trail,1,Forward
188,2019-09-20-211,2019-09-20,Daniel Murphy,Play,2,42,Erie Otters,Even,Indirect,Close Lead,0,Forward
189,2019-09-20-211,2019-09-20,Daniel Murphy,Play,35.0,1.0,Erie Otters,Even,Indirect,Close Lead,0,Forward
190,2019-09-20-212,2019-09-20,Daniel D'Amato,Incomplete Play,35,1,Erie Otters,Even,Indirect,Close Lead,4,Forward
191,2019-09-20-212,2019-09-20,Daniel D'Amato,Incomplete Play,78.0,44.0,Erie Otters,Even,Indirect,Close Lead,4,Forward
192,2019-09-20-216,2019-09-20,Daniel Murphy,Play,2,42,Erie Otters,Even,Indirect,Close Lead,0,Neutral
193,2019-09-20-216,2019-09-20,Daniel Murphy,Play,3.0,36.0,Erie Otters,Even,Indirect,Close Lead,0,Neutral
194,2019-09-20-217,2019-09-20,Kurtis Henry,Play,8,51,Erie Otters,Even,Direct,Close Lead,3,Forward
195,2019-09-20-217,2019-09-20,Kurtis Henry,Play,49.0,81.0,Erie Otters,Even,Direct,Close Lead,3,Forward
196,2019-09-20-218,2019-09-20,Elias Cohen,Incomplete Play,57,80,Erie Otters,Even,Direct,Close Lead,3,Forward
197,2019-09-20-218,2019-09-20,Elias Cohen,Incomplete Play,78.0,59.0,Erie Otters,Even,Direct,Close Lead,3,Forward
198,2019-09-20-220,2019-09-20,Shane Bulitka,Play,185,6,Sudbury Wolves,Even,Indirect,Close Trail,3,Back
199,2019-09-20-220,2019-09-20,Shane Bulitka,Play,176.0,83.0,Sudbury Wolves,Even,Indirect,Close Trail,3,Back
200,2019-09-20-221,2019-09-20,Blake Murray,Incomplete Play,160,82,Sudbury Wolves,Even,Direct,Close Trail,3,Back
201,2019-09-20-221,2019-09-20,Blake Murray,Incomplete Play,147.0,60.0,Sudbury Wolves,Even,Direct,Close Trail,3,Back
202,2019-09-20-223,2019-09-20,Jamie Drysdale,Play,21,80,Erie Otters,Even,Indirect,Close Lead,0,Forward
203,2019-09-20-223,2019-09-20,Jamie Drysdale,Play,55.0,81.0,Erie Otters,Even,Indirect,Close Lead,0,Forward
204,2019-09-20-226,2019-09-20,Jack Thompson,Play,28,28,Sudbury Wolves,Even,Direct,Close Trail,2,Forward
205,2019-09-20-226,2019-09-20,Jack Thompson,Play,84.0,28.0,Sudbury Wolves,Even,Direct,Close Trail,2,Forward
206,2019-09-20-227,2019-09-20,Shane Bulitka,Play,84,28,Sudbury Wolves,Even,Indirect,Close Trail,2,Forward
207,2019-09-20-227,2019-09-20,Shane Bulitka,Play,91.0,25.0,Sudbury Wolves,Even,Indirect,Close Trail,2,Forward
208,2019-09-20-228,2019-09-20,Blake Murray,Incomplete Play,91,25,Sudbury Wolves,Even,Direct,Close Trail,1,Neutral
209,2019-09-20-228,2019-09-20,Blake Murray,Incomplete Play,93.0,59.0,Sudbury Wolves,Even,Direct,Close Trail,1,Neutral
210,2019-09-20-230,2019-09-20,Connor Lockhart,Play,112,49,Erie Otters,Even,Direct,Close Lead,2,Back
211,2019-09-20-230,2019-09-20,Connor Lockhart,Play,67.0,56.0,Erie Otters,Even,Direct,Close Lead,2,Back
212,2019-09-20-231,2019-09-20,Jamie Drysdale,Play,53,61,Erie Otters,Even,Direct,Close Lead,4,Neutral
213,2019-09-20-231,2019-09-20,Jamie Drysdale,Play,57.0,14.0,Erie Otters,Even,Direct,Close Lead,4,Neutral
214,2019-09-20-232,2019-09-20,Kurtis Henry,Incomplete Play,59,8,Erie Otters,Even,Direct,Close Lead,1,Forward
215,2019-09-20-232,2019-09-20,Kurtis Henry,Incomplete Play,86.0,33.0,Erie Otters,Even,Direct,Close Lead,1,Forward
216,2019-09-20-236,2019-09-20,Hayden Fowler,Play,80,10,Erie Otters,Even,Direct,Close Lead,0,Back
217,2019-09-20-236,2019-09-20,Hayden Fowler,Play,58.0,16.0,Erie Otters,Even,Direct,Close Lead,0,Back
218,2019-09-20-237,2019-09-20,Luke Beamish,Play,55,18,Erie Otters,Even,Direct,Close Lead,1,Neutral
