,game_date,Home_Team,Away_Team,Period,Clock,Home_Team_Skaters,Away_Team_Skaters,Home_Team_Goals,Away_Team_Goals,Team,Player,Event,X_Coordinate,Y_Coordinate,Detail_1,Detail_2,Detail_3,Detail_4,Player_2,X_Coordinate_2,Y_Coordinate_2,Time_Remaining,event_id,TeamIdentity,std_X,std_X_2,std_Y,std_Y_2,euc_dist,Score_Differential,Game_State,timeElapsed,secLastTeamEvent,secLastAnyEvent,Manpower,HQ_Pass
64,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,18:03,5,4,0,0,Olympic (Women) - Canada,Brianne Jenner,Play,135,9,Direct,,,,Meghan Agosta,125.0,31.0,1083,65,Home Team,135,125.0,9,31.0,24.16609195,0,Tied,"[2, 2]",2,2,Advantage,Yes
65,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,18:02,5,4,0,0,Olympic (Women) - Canada,Meghan Agosta,Play,125,31,Direct,,,,Brigette Lacquette,142.0,67.0,1082,66,Home Team,125,142.0,31,67.0,39.81205847,0,Tied,"[1, 1]",1,1,Advantage,Yes
70,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,17:50,5,4,0,0,Olympic (Women) - Canada,Meghan Agosta,Play,136,5,Direct,,,,Brianne Jenner,190.0,20.0,1070,71,Home Team,136,190.0,5,20.0,56.04462508,0,Tied,"[4, 4]",4,4,Advantage,No
71,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,17:47,5,4,0,0,Olympic (Women) - Canada,Brianne Jenner,Incomplete Play,190,20,Direct,,,,Sarah Nurse,168.0,34.0,1067,72,Home Team,190,168.0,20,34.0,26.07680962,0,Tied,"[3, 3]",3,3,Advantage,No
75,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,17:39,5,4,0,0,Olympic (Women) - Canada,Brigette Lacquette,Play,109,75,Direct,,,,Natalie Spooner,123.0,65.0,1059,76,Home Team,109,123.0,75,65.0,17.20465053,0,Tied,"[3, 3]",3,3,Advantage,Yes
80,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,17:27,5,4,0,0,Olympic (Women) - Canada,Natalie Spooner,Incomplete Play,197,51,Direct,,,,Sarah Nurse,186.0,48.0,1047,81,Home Team,197,186.0,51,48.0,11.40175425,0,Tied,"[0, 0]",0,0,Advantage,No
82,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,17:26,5,4,0,0,Olympic (Women) - Olympic Athletes from Russia,Nadezhda Morozova,Play,13,40,Direct,,,,Yevgenia Dyupina,15.0,37.0,1046,83,Away Team,187,185.0,45,48.0,3.605551275,0,Tied,"[0, 0]",0,0,Shorthanded,No
84,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,17:19,5,4,0,0,Olympic (Women) - Canada,Meghan Agosta,Play,178,80,Direct,,,,Brigette Lacquette,127.0,70.0,1039,85,Home Team,178,127.0,80,70.0,51.97114584,0,Tied,"[4, 4]",4,4,Advantage,Yes
91,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,17:02,5,4,0,0,Olympic (Women) - Canada,Ann-Renee Desbiens,Play,7,60,Indirect,,,,Melodie Daoust,7.0,60.0,1022,92,Home Team,7,7.0,60,60.0,0.0,0,Tied,"[2, 2]",2,2,Advantage,Yes
92,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,17:00,5,4,0,0,Olympic (Women) - Canada,Melodie Daoust,Play,4,42,Indirect,,,,Marie-Philip Poulin,4.0,42.0,1020,93,Home Team,4,4.0,42,42.0,0.0,0,Tied,"[2, 2]",2,2,Advantage,Yes
93,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,16:56,5,4,0,0,Olympic (Women) - Canada,Marie-Philip Poulin,Play,103,37,Direct,,,,Rebecca Johnston,121.0,9.0,1016,94,Home Team,103,121.0,37,9.0,33.28663395,0,Tied,"[4, 4]",4,4,Advantage,Yes
97,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,16:50,5,5,0,0,Olympic (Women) - Canada,Rebecca Johnston,Incomplete Play,186,78,Direct,,,,Marie-Philip Poulin,134.0,75.0,1010,98,Home Team,186,134.0,78,75.0,52.08646657,0,Tied,"[3, 3]",3,3,Even,No
99,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,16:43,5,5,0,0,Olympic (Women) - Canada,Laura Fortino,Play,83,62,Direct,,,,Melodie Daoust,71.0,41.0,1003,100,Home Team,83,71.0,62,41.0,24.18677324,0,Tied,"[1, 1]",1,1,Even,No
100,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,16:42,5,5,0,0,Olympic (Women) - Canada,Melodie Daoust,Incomplete Play,76,37,Direct,,,,Rebecca Johnston,110.0,54.0,1002,101,Home Team,76,110.0,37,54.0,38.01315562,0,Tied,"[1, 1]",1,1,Even,No
102,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,16:40,5,5,0,0,Olympic (Women) - Olympic Athletes from Russia,Liana Ganeyeva,Incomplete Play,46,9,Direct,,,,Valeria Pavlova,83.0,5.0,1000,103,Away Team,154,117.0,76,80.0,37.21558813,0,Tied,"[0, 0]",0,0,Even,No
105,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,16:34,5,5,0,0,Olympic (Women) - Canada,Melodie Daoust,Play,133,58,Direct,,,,Jocelyne Larocque,135.0,22.0,994,106,Home Team,133,135.0,58,22.0,36.05551275,0,Tied,"[2, 2]",2,2,Even,Yes
108,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,16:31,5,5,0,0,Olympic (Women) - Olympic Athletes from Russia,Liana Ganeyeva,Play,9,48,Indirect,,,,Yekaterina Nikolayeva,3.0,37.0,991,109,Away Team,191,197.0,37,48.0,12.52996409,0,Tied,"[0, 0]",0,0,Even,Yes
109,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,16:29,5,5,0,0,Olympic (Women) - Olympic Athletes from Russia,Yekaterina Nikolayeva,Play,3,37,Indirect,,,,Valeria Pavlova,32.0,3.0,989,110,Away Team,197,168.0,48,82.0,44.68780594,0,Tied,"[2, 2]",2,2,Even,Yes
114,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,16:17,5,5,0,0,Olympic (Women) - Olympic Athletes from Russia,Fanuza Kadirova,Incomplete Play,170,22,Direct,,,,Yekaterina Smolina,158.0,19.0,977,115,Away Team,30,42.0,63,66.0,12.36931688,0,Tied,"[0, 0]",0,0,Even,No
116,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,16:15,5,5,0,0,Olympic (Women) - Canada,Bailey Bram,Play,51,30,Direct,,,,Emily Clark,91.0,35.0,975,117,Home Team,51,91.0,30,35.0,40.31128874,0,Tied,"[1, 1]",1,1,Even,Yes
118,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,16:09,5,5,0,0,Olympic (Women) - Canada,Emily Clark,Incomplete Play,151,6,Direct,,,,Lauriane Rougeau,175.0,32.0,969,119,Home Team,151,175.0,6,32.0,35.38361203,0,Tied,"[2, 2]",2,2,Even,No
122,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,16:04,5,5,0,0,Olympic (Women) - Olympic Athletes from Russia,Yekaterina Smolina,Incomplete Play,47,4,Direct,,,,Fanuza Kadirova,87.0,32.0,964,123,Away Team,153,113.0,81,53.0,48.82622246,0,Tied,"[3, 3]",3,3,Even,No
124,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,16:00,5,5,0,0,Olympic (Women) - Canada,Emily Clark,Play,68,76,Direct,,,,Renata Fast,52.0,52.0,960,125,Home Team,68,52.0,76,52.0,28.844410200000002,0,Tied,"[3, 3]",3,3,Even,Yes
125,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,15:53,5,5,0,0,Olympic (Women) - Canada,Renata Fast,Play,34,28,Direct,,,,Lauriane Rougeau,37.0,46.0,953,126,Home Team,34,37.0,28,46.0,18.24828759,0,Tied,"[7, 7]",7,7,Even,Yes
126,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,15:48,5,5,0,0,Olympic (Women) - Canada,Lauriane Rougeau,Play,50,79,Direct,,,,Emily Clark,54.0,30.0,948,127,Home Team,50,54.0,79,30.0,49.16299421,0,Tied,"[5, 5]",5,5,Even,Yes
130,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,15:41,5,5,0,0,Olympic (Women) - Olympic Athletes from Russia,Nina Pirogova,Play,2,53,Indirect,,,,Yelena Dergachyova,19.0,6.0,941,131,Away Team,198,181.0,32,79.0,49.979996,0,Tied,"[0, 0]",0,0,Even,No
131,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,15:38,5,5,0,0,Olympic (Women) - Olympic Athletes from Russia,Yelena Dergachyova,Incomplete Play,19,6,Direct,,,,Alevtina Shtaryova,65.0,27.0,938,132,Away Team,181,135.0,79,58.0,50.56678752,0,Tied,"[3, 3]",3,3,Even,No
136,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,15:29,5,5,0,0,Olympic (Women) - Canada,Jillian Saulnier,Play,69,48,Direct,,,,Jocelyne Larocque,63.0,9.0,929,137,Home Team,69,63.0,48,9.0,39.45883931,0,Tied,"[2, 2]",2,2,Even,Yes
137,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,15:28,5,5,0,0,Olympic (Women) - Canada,Jocelyne Larocque,Play,73,11,Direct,,,,Brigette Lacquette,54.0,34.0,928,138,Home Team,73,54.0,11,34.0,29.83286778,0,Tied,"[1, 1]",1,1,Even,Yes
138,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,15:26,5,5,0,0,Olympic (Women) - Canada,Brigette Lacquette,Play,66,39,Direct,,,,Rebecca Johnston,117.0,80.0,926,139,Home Team,66,117.0,39,80.0,65.4369926,0,Tied,"[2, 2]",2,2,Even,Yes
140,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,15:23,5,5,0,0,Olympic (Women) - Canada,Rebecca Johnston,Play,143,77,Direct,,,,Brianne Jenner,164.0,19.0,923,141,Home Team,143,164.0,77,19.0,61.68468205,0,Tied,"[2, 2]",2,2,Even,Yes
143,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,15:19,5,5,0,0,Olympic (Women) - Canada,Brigette Lacquette,Play,184,80,Indirect,,,,Jocelyne Larocque,146.0,5.0,919,144,Home Team,184,146.0,80,5.0,84.07734534,0,Tied,"[0, 0]",0,0,Even,No
144,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,15:15,5,5,0,0,Olympic (Women) - Canada,Jocelyne Larocque,Play,146,5,Direct,,,,Brianne Jenner,186.0,7.0,915,145,Home Team,146,186.0,5,7.0,40.04996879,0,Tied,"[4, 4]",4,4,Even,No
149,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,14:59,5,5,0,0,Olympic (Women) - Canada,Laura Fortino,Play,8,34,Direct,,,,Jocelyne Larocque,20.0,16.0,899,150,Home Team,8,20.0,34,16.0,21.63330765,0,Tied,"[4, 4]",4,4,Even,Yes
150,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,14:56,5,5,0,0,Olympic (Women) - Canada,Jocelyne Larocque,Play,58,11,Direct,,,,Marie-Philip Poulin,92.0,49.0,896,151,Home Team,58,92.0,11,49.0,50.99019514,0,Tied,"[3, 3]",3,3,Even,Yes
152,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,14:50,5,5,0,0,Olympic (Women) - Canada,Marie-Philip Poulin,Play,193,72,Indirect,,,,Melodie Daoust,185.0,6.0,890,153,Home Team,193,185.0,72,6.0,66.48308055,0,Tied,"[3, 3]",3,3,Even,Yes
153,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,14:47,5,5,0,0,Olympic (Women) - Canada,Melodie Daoust,Play,185,6,Indirect,,,,Marie-Philip Poulin,195.0,42.0,887,154,Home Team,185,195.0,6,42.0,37.36308338,0,Tied,"[3, 3]",3,3,Even,Yes
154,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,14:43,5,5,0,0,Olympic (Women) - Canada,Marie-Philip Poulin,Play,170,0,Indirect,,,,Melodie Daoust,197.0,38.0,883,155,Home Team,170,197.0,0,38.0,46.61544808,0,Tied,"[4, 4]",4,4,Even,Yes
155,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,14:33,5,5,0,0,Olympic (Women) - Canada,Melodie Daoust,Play,171,80,Direct,,,,Laura Fortino,133.0,79.0,873,156,Home Team,171,133.0,80,79.0,38.01315562,0,Tied,"[10, 10]",10,10,Even,Yes
159,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,14:26,5,5,0,0,Olympic (Women) - Olympic Athletes from Russia,Liana Ganeyeva,Incomplete Play,4,21,Indirect,,,,Valeria Pavlova,32.0,9.0,866,160,Away Team,196,168.0,64,76.0,30.46309242,0,Tied,"[1, 1]",1,1,Even,No
162,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,14:17,5,5,0,0,Olympic (Women) - Canada,Melodie Daoust,Incomplete Play,133,19,Direct,,,,Meghan Agosta,144.0,6.0,857,163,Home Team,133,144.0,19,6.0,17.02938637,0,Tied,"[2, 2]",2,2,Even,No
164,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,14:12,5,5,0,0,Olympic (Women) - Olympic Athletes from Russia,Liana Ganeyeva,Play,8,23,Indirect,,,,Yekaterina Lovova,7.0,64.0,852,165,Away Team,192,193.0,62,21.0,41.01219331,0,Tied,"[2, 2]",2,2,Even,Yes
165,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,14:09,5,5,0,0,Olympic (Women) - Olympic Athletes from Russia,Yekaterina Lovova,Play,18,67,Direct,,,,Fanuza Kadirova,50.0,63.0,849,166,Away Team,182,150.0,18,22.0,32.24903099,0,Tied,"[3, 3]",3,3,Even,No
166,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,14:08,5,5,0,0,Olympic (Women) - Olympic Athletes from Russia,Fanuza Kadirova,Incomplete Play,85,36,Direct,,,,Yevgenia Dyupina,114.0,64.0,848,167,Away Team,115,86.0,49,21.0,40.31128874,0,Tied,"[1, 1]",1,1,Even,No
168,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,14:03,5,5,0,0,Olympic (Women) - Canada,Lauriane Rougeau,Play,27,12,Indirect,,,,Meaghan Mikkelson,14.0,70.0,843,169,Home Team,27,14.0,12,70.0,59.43904441,0,Tied,"[2, 2]",2,2,Even,Yes
169,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,14:00,5,5,0,0,Olympic (Women) - Canada,Meaghan Mikkelson,Play,23,79,Direct,,,,Jennifer Wakefield,64.0,79.0,840,170,Home Team,23,64.0,79,79.0,41.0,0,Tied,"[3, 3]",3,3,Even,Yes
170,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,13:58,5,5,0,0,Olympic (Women) - Canada,Jennifer Wakefield,Play,86,78,Direct,,,,Natalie Spooner,170.0,23.0,838,171,Home Team,86,170.0,78,23.0,100.4041832,0,Tied,"[2, 2]",2,2,Even,Yes
172,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,13:54,5,5,0,0,Olympic (Women) - Canada,Natalie Spooner,Incomplete Play,193,35,Direct,,,,Blayre Turnbull,181.0,42.0,834,173,Home Team,193,181.0,35,42.0,13.89244399,0,Tied,"[4, 4]",4,4,Even,No
174,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,13:52,5,5,0,0,Olympic (Women) - Olympic Athletes from Russia,Yekaterina Smolina,Incomplete Play,37,12,Direct,,,,Yevgenia Dyupina,86.0,32.0,832,175,Away Team,163,114.0,73,53.0,52.92447449,0,Tied,"[1, 1]",1,1,Even,No
186,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,13:31,5,5,0,0,Olympic (Women) - Olympic Athletes from Russia,Nina Pirogova,Incomplete Play,31,13,Direct,,,,Anna Shokhina,97.0,66.0,811,187,Away Team,169,103.0,72,19.0,84.64632302,0,Tied,"[2, 2]",2,2,Even,No
188,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,13:29,5,5,0,0,Olympic (Women) - Canada,Brigette Lacquette,Play,86,62,Direct,,,,Emily Clark,108.0,41.0,809,189,Home Team,86,108.0,62,41.0,30.41381265,0,Tied,"[0, 0]",0,0,Even,Yes
189,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,13:28,5,5,0,0,Olympic (Women) - Canada,Emily Clark,Play,108,41,Direct,,,,Sarah Nurse,136.0,78.0,808,190,Home Team,108,136.0,41,78.0,46.40043103,0,Tied,"[1, 1]",1,1,Even,Yes
191,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,13:25,5,5,0,0,Olympic (Women) - Canada,Sarah Nurse,Incomplete Play,136,78,Indirect,,,,Laura Stacey,163.0,54.0,805,192,Home Team,136,163.0,78,54.0,36.12478374,0,Tied,"[2, 2]",2,2,Even,No
195,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,13:16,5,5,0,0,Olympic (Women) - Olympic Athletes from Russia,Angelina Goncharenko,Play,2,24,Indirect,,,,Alevtina Shtaryova,52.0,6.0,796,196,Away Team,198,148.0,61,79.0,53.14132102,0,Tied,"[0, 0]",0,0,Even,No
198,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,13:09,5,5,0,0,Olympic (Women) - Canada,Sarah Nurse,Play,18,76,Direct,,,,Laura Stacey,70.0,81.0,789,199,Home Team,18,70.0,76,81.0,52.23983155,0,Tied,"[0, 0]",0,0,Even,Yes
199,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,13:07,5,5,0,0,Olympic (Women) - Canada,Laura Stacey,Play,63,63,Direct,,,,Emily Clark,80.0,57.0,787,200,Home Team,63,80.0,63,57.0,18.02775638,0,Tied,"[2, 2]",2,2,Even,Yes
201,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,12:58,5,5,0,0,Olympic (Women) - Canada,Emily Clark,Play,197,62,Direct,,,,Jillian Saulnier,175.0,54.0,778,202,Home Team,197,175.0,62,54.0,23.40939982,0,Tied,"[6, 6]",6,6,Even,Yes
205,2/11/2018,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,12:54,5,5,0,0,Olympic (Women) - Olympic Athletes from Russia,Liana Ganeyeva,Incomplete Play,4,45,Indirect,,,,Olga Sosina,48.0,81.0,774,206,Away Team,196,152.0,40,4.0,56.85068161,0,Tied,"[2, 2]",2,2,Even,No
